FID,CID,Type,POINT_X,POINT_Y
95, 0, 1, -13182928.1297, 4020717.60007
96, 0, 2, -13183121.8065, 4021630.92015
97, 0, 2, -13182818.7892, 4021580.04134
98, 0, 2, -13182581.1566, 4021668.82102
99, 0, 2, -13182933.1278, 4021689.6762
100, 0, 2, -13181770.1126, 4021076.01768
101, 0, 2, -13182768.9021, 4021813.31142
102, 0, 2, -13181972.2591, 4020871.75703
103, 0, 1, -13183103.2454, 4020435.16715
104, 0, 2, -13181748.3199, 4021115.58986
105, 0, 2, -13181844.9212, 4021201.19659
106, 0, 2, -13181899.9525, 4021119.48987
107, 0, 2, -13182199.6261, 4021084.95098
108, 0, 2, -13182839.4666, 4021657.50324
109, 0, 2, -13182779.6352, 4021653.65717
110, 0, 2, -13181674.7192, 4021092.94704
111, 0, 1, -13183116.1094, 4020722.30717
112, 0, 2, -13181884.7913, 4021114.06788
113, 0, 2, -13182864.2921, 4021613.00518
114, 0, 2, -13183025.8157, 4021811.18211
115, 0, 2, -13182008.7014, 4021153.02362
116, 0, 2, -13181643.4561, 4021303.52544
117, 0, 2, -13181699.3827, 4021370.86069
118, 0, 2, -13181978.3325, 4020940.18678
119, 0, 2, -13181858.182, 4021157.6075
120, 0, 2, -13182789.621, 4021561.51119
121, 0, 2, -13182835.8577, 4021753.61875
122, 0, 2, -13182926.3737, 4021539.962
123, 0, 1, -13183131.5339, 4020424.13485
124, 0, 2, -13183149.3538, 4021660.79047
125, 0, 2, -13183014.1286, 4021868.58218
126, 0, 2, -13182660.3227, 4021704.23995
127, 0, 1, -13183224.8064, 4020673.59927
128, 0, 2, -13182774.0986, 4021786.65404
129, 0, 2, -13182982.0293, 4021789.999
130, 0, 2, -13181908.4345, 4021068.18318
131, 0, 1, -13182847.0373, 4020811.36925
132, 0, 1, -13183107.21, 4020679.23611
133, 0, 2, -13183113.9589, 4021734.66213
134, 0, 2, -13181814.4182, 4021316.30478
135, 0, 2, -13183139.2848, 4021625.13968
136, 0, 2, -13182423.9027, 4021217.57666
137, 0, 2, -13181885.0137, 4021318.27845
138, 0, 2, -13181941.993, 4021130.06992
139, 0, 2, -13181872.729, 4020997.74416
140, 0, 2, -13182885.0447, 4021535.98282
141, 0, 2, -13183064.6246, 4021595.10712
142, 0, 1, -13182916.4522, 4020855.96381
143, 0, 2, -13181899.2435, 4020999.81354
144, 0, 1, -13182508.4003, 4020150.29332
145, 0, 2, -13183027.9095, 4021729.83843
146, 0, 2, -13182992.1669, 4021694.31131
147, 0, 2, -13182849.2852, 4021842.33463
148, 0, 2, -13182849.1656, 4021855.94148
149, 0, 1, -13182246.966, 4020101.97432
150, 0, 1, -13182495.7312, 4020089.52629
151, 0, 1, -13182935.0353, 4020578.89769
152, 0, 1, -13182457.4368, 4020118.21644
153, 0, 2, -13183082.0632, 4021548.604
154, 0, 2, -13181837.2313, 4020932.92463
155, 0, 2, -13182769.1098, 4021689.41441
156, 0, 2, -13181798.2519, 4021033.72838
157, 0, 2, -13181633.6003, 4021259.94482
158, 0, 1, -13183225.6318, 4020683.7395
159, 0, 2, -13182839.2243, 4021665.33385
160, 0, 2, -13181878.5479, 4021191.15503
161, 0, 1, -13182245.0345, 4019984.8974
162, 0, 1, -13182430.4289, 4019950.94715
163, 0, 2, -13182871.2256, 4021541.20416
164, 0, 1, -13183094.1561, 4020430.78494
165, 0, 2, -13181917.5299, 4021121.18726
166, 0, 1, -13182197.738, 4020029.01876
167, 0, 2, -13181865.336, 4021039.15931
168, 0, 1, -13182268.0018, 4020046.51386
169, 0, 1, -13182844.4135, 4020720.4484
170, 0, 1, -13182271.4424, 4019869.3529
171, 0, 2, -13181694.396, 4021147.78071
172, 0, 2, -13182923.2909, 4021472.35034
173, 0, 2, -13182931.9773, 4021734.58012
174, 0, 1, -13182383.7764, 4020094.37829
175, 0, 2, -13182654.6747, 4021584.49973
176, 0, 2, -13183110.8938, 4021570.70809
177, 0, 2, -13181960.2122, 4021216.37808
178, 0, 2, -13181971.038, 4021021.7392
179, 0, 2, -13181736.2021, 4021059.81081
180, 0, 2, -13182779.9627, 4021851.04814
181, 0, 1, -13183207.4722, 4020640.16765
182, 0, 2, -13181723.7342, 4021371.96702
183, 0, 1, -13183059.7653, 4020633.52762
184, 0, 2, -13183093.869, 4021805.9256
185, 0, 2, -13181656.727, 4021349.92538
186, 0, 2, -13183180.472, 4021767.99838
187, 0, 2, -13181818.3194, 4021194.27602
188, 0, 2, -13181792.3243, 4021284.29591
189, 0, 2, -13182973.2752, 4021738.02369
190, 0, 1, -13183167.914, 4020653.5246
191, 0, 2, -13181745.081, 4021337.31067
192, 0, 1, -13182183.3516, 4020060.04811
193, 0, 2, -13182574.0743, 4021700.5089
194, 0, 1, -13182277.9577, 4020004.71753
195, 0, 1, -13183166.2487, 4020489.59011
196, 0, 1, -13182925.2565, 4020652.36576
197, 0, 2, -13183165.2597, 4021751.74097
198, 0, 2, -13181860.0638, 4021334.91379
199, 0, 2, -13182645.3811, 4021686.08276
200, 0, 1, -13182257.4804, 4019952.41047
201, 0, 2, -13181772.7832, 4021195.61308
202, 0, 2, -13182970.1895, 4021802.22569
203, 0, 2, -13183060.8236, 4021788.06478
204, 0, 2, -13181944.3626, 4021205.70451
205, 0, 1, -13182801.5688, 4020712.31089
206, 0, 1, -13183201.0956, 4020609.11756
207, 0, 2, -13182792.798, 4021715.9173
208, 0, 2, -13183052.1722, 4021684.08308
209, 0, 2, -13181890.2481, 4021064.15888
210, 0, 2, -13181779.147, 4021286.216
211, 0, 1, -13182293.6447, 4020097.16731
212, 0, 1, -13182375.0711, 4020103.03659
213, 0, 2, -13181810.1369, 4021187.23379
214, 0, 1, -13182786.8037, 4020695.3299
215, 0, 1, -13182988.4464, 4020696.51664
216, 0, 1, -13182942.3993, 4020612.22192
217, 0, 2, -13181703.0981, 4021094.66322
218, 0, 2, -13182424.6513, 4021190.93605
219, 0, 2, -13182743.8169, 4021641.63063
220, 0, 2, -13182954.3879, 4021716.35147
221, 0, 1, -13182989.2842, 4020579.4551
222, 0, 2, -13181714.0539, 4021113.10209
223, 0, 2, -13181931.232, 4021035.01722
224, 0, 2, -13181724.658, 4021083.72755
225, 0, 2, -13182755.7094, 4021560.75212
226, 0, 2, -13182834.1884, 4021744.9344
227, 0, 2, -13181718.5075, 4020999.26059
228, 0, 1, -13182928.7297, 4020757.66399
229, 0, 1, -13183107.4289, 4020467.67144
230, 0, 1, -13182488.7197, 4020041.74753
231, 0, 1, -13182312.1405, 4019979.02462
232, 0, 2, -13181881.0192, 4021190.49353
233, 0, 1, -13183213.9211, 4020510.67005
234, 0, 2, -13181779.0692, 4020879.40261
235, 0, 2, -13182759.5286, 4021645.05115
236, 0, 2, -13181764.5203, 4021221.70107
237, 0, 2, -13182844.6774, 4021574.60855
238, 0, 1, -13182302.3919, 4019936.96263
239, 0, 2, -13181715.7515, 4021359.31445
240, 0, 2, -13181688.5511, 4021300.97205
241, 0, 2, -13183071.2508, 4021556.40966
242, 0, 2, -13182812.5312, 4021647.75453
243, 0, 1, -13183246.7056, 4020531.98584
244, 0, 1, -13183065.4611, 4020701.97901
245, 0, 1, -13182757.3358, 4020415.27872
246, 0, 2, -13181709.6177, 4020938.36135
247, 0, 1, -13182460.1061, 4019975.39427
248, 0, 1, -13182761.0901, 4020732.50699
249, 0, 2, -13181728.1453, 4021246.45939
250, 0, 1, -13183196.5064, 4020665.51709
251, 0, 2, -13181759.546, 4020966.28195
252, 0, 1, -13182981.783, 4020778.75286
253, 0, 1, -13183136.4273, 4020508.94134
254, 0, 2, -13182876.5411, 4021732.9534
255, 0, 1, -13182200.369, 4020031.22612
256, 0, 1, -13183067.3239, 4020520.23117
257, 0, 2, -13182993.2222, 4021625.87052
258, 0, 2, -13182942.1617, 4021734.858
259, 0, 2, -13182668.2925, 4021834.52112
260, 0, 2, -13181806.3255, 4020957.16752
261, 0, 1, -13183047.0949, 4020593.73993
262, 0, 1, -13182942.29, 4020722.55861
263, 0, 1, -13183041.8016, 4020836.40701
264, 0, 2, -13181801.526, 4020899.60817
265, 0, 2, -13182675.1231, 4021569.76948
266, 0, 2, -13181846.8483, 4020893.481
267, 0, 2, -13182942.2126, 4021519.53484
268, 0, 2, -13181834.8975, 4020976.37641
269, 0, 2, -13181683.4864, 4021257.67396
270, 0, 2, -13181839.8978, 4021359.04259
271, 0, 1, -13182225.9565, 4020060.05355
272, 0, 2, -13181678.3528, 4021242.47122
273, 0, 2, -13181779.7103, 4020958.33338
274, 0, 1, -13182998.1128, 4020848.05781
275, 0, 1, -13182986.6215, 4020525.51021
276, 0, 2, -13182815.8797, 4021715.28491
277, 0, 2, -13182602.9867, 4021710.7738
278, 0, 1, -13182424.8098, 4020038.40937
279, 0, 1, -13182316.0016, 4020074.03003
280, 0, 1, -13182970.7451, 4020665.36152
281, 0, 1, -13183031.1884, 4020758.34733
282, 0, 1, -13182799.6623, 4020493.02721
283, 0, 2, -13181787.3466, 4020911.59149
284, 0, 2, -13183031.2709, 4021732.94182
285, 0, 2, -13181587.6196, 4021308.09819
286, 0, 1, -13183209.5178, 4020609.12132
287, 0, 2, -13182775.7404, 4021554.54141
288, 0, 1, -13182960.5057, 4020849.68135
289, 0, 2, -13183132.4733, 4021658.61962
290, 0, 1, -13182855.4352, 4020821.79891
291, 0, 1, -13183065.7878, 4020645.90349
292, 0, 2, -13182633.0503, 4021645.96311
293, 0, 2, -13183012.5904, 4021526.10075
294, 0, 2, -13181748.8243, 4021408.55917
295, 0, 1, -13182337.6237, 4020171.00654
296, 0, 2, -13182242.1249, 4021059.6966
297, 0, 1, -13183000.6659, 4020529.36575
298, 0, 1, -13183167.3686, 4020705.58591
299, 0, 1, -13183115.8668, 4020602.65158
300, 0, 1, -13182319.4041, 4020093.32106
301, 0, 1, -13182295.0586, 4019976.0533
302, 0, 2, -13181975.4678, 4020912.40704
303, 0, 2, -13181962.9698, 4021002.33256
304, 0, 2, -13182989.1888, 4021741.06061
305, 0, 1, -13182453.5925, 4020025.01796
306, 0, 1, -13182899.7042, 4020731.11907
307, 0, 1, -13183028.715, 4020657.08508
308, 0, 2, -13182888.9527, 4021805.86799
309, 0, 1, -13182897.9835, 4020749.62695
310, 0, 2, -13181677.4363, 4021260.85984
311, 0, 2, -13182792.2593, 4021678.53047
312, 0, 2, -13182874.6328, 4021758.50188
313, 0, 1, -13182231.7154, 4019926.95262
314, 0, 1, -13183005.6373, 4020774.63005
315, 0, 1, -13183161.5706, 4020482.17843
316, 0, 2, -13182692.0445, 4021696.51687
317, 0, 2, -13181817.5256, 4021018.49684
318, 0, 1, -13183255.6231, 4020532.80367
319, 0, 2, -13181658.93, 4021375.0238
320, 0, 2, -13182780.3231, 4021299.22358
321, 0, 2, -13181744.9419, 4020917.65669
322, 0, 2, -13182904.4812, 4021796.52171
323, 0, 1, -13182449.2312, 4020083.68211
324, 0, 1, -13183056.1791, 4020481.71705
325, 0, 2, -13181612.0018, 4021103.90298
326, 0, 1, -13183059.0623, 4020589.34801
327, 0, 2, -13181596.7226, 4021209.64415
328, 0, 2, -13181640.6195, 4021320.3113
329, 0, 2, -13182994.4202, 4021742.16832
330, 0, 1, -13182222.6184, 4019990.00693
331, 0, 1, -13182372.4126, 4020026.98379
332, 0, 2, -13182656.3914, 4021731.46844
333, 0, 2, -13183159.7098, 4021727.39233
334, 0, 2, -13182671.1869, 4021768.94676
335, 0, 1, -13182409.1153, 4019876.85819
336, 0, 2, -13181607.7133, 4021105.20217
337, 0, 2, -13183034.2617, 4021711.31402
338, 0, 2, -13182722.9568, 4021758.29945
339, 0, 1, -13182964.4688, 4020895.70936
340, 0, 1, -13182932.0421, 4020832.59391
341, 0, 2, -13181831.9078, 4021388.34819
342, 0, 1, -13182380.7296, 4020009.52142
343, 0, 2, -13183134.5904, 4021785.35967
344, 0, 1, -13182197.865, 4019994.3567
345, 0, 2, -13181683.714, 4021236.75293
346, 0, 1, -13182976.8029, 4020807.59629
347, 0, 2, -13181742.0126, 4021138.21013
348, 0, 2, -13181789.6976, 4020940.78143
349, 0, 2, -13181797.5516, 4021107.99411
350, 0, 2, -13182899.1847, 4021816.40784
351, 0, 2, -13181841.8276, 4021004.46614
352, 0, 2, -13182846.5379, 4021638.24167
353, 0, 2, -13182440.4344, 4021367.85344
354, 0, 1, -13182930.7731, 4020673.54142
355, 0, 2, -13182929.8723, 4021514.04165
356, 0, 2, -13181691.8902, 4021253.13098
357, 0, 1, -13182351.8741, 4019985.17445
358, 0, 1, -13182996.2868, 4020660.9563
359, 0, 1, -13182357.43, 4020032.57595
360, 0, 2, -13182816.5612, 4021304.31365
361, 0, 2, -13182919.7093, 4021603.66303
362, 0, 2, -13182199.5155, 4021094.23409
363, 0, 2, -13181949.7827, 4020884.57999
364, 0, 1, -13182260.9463, 4020141.3994
365, 0, 2, -13182698.8117, 4021760.12827
366, 0, 2, -13181951.537, 4020887.85582
367, 0, 2, -13181744.7703, 4021003.11667
368, 0, 2, -13181844.4406, 4021287.68512
369, 0, 2, -13181984.1173, 4021138.72692
370, 0, 2, -13181691.8945, 4021190.69482
371, 0, 2, -13182675.8356, 4021811.7299
372, 0, 2, -13181801.6195, 4021304.74511
373, 0, 2, -13182772.2354, 4021692.85626
374, 0, 2, -13181862.9177, 4021083.09084
375, 0, 2, -13181806.3819, 4021058.52694
376, 0, 1, -13182443.8324, 4019935.94963
377, 0, 1, -13182867.9756, 4020576.07543
378, 0, 1, -13182992.0242, 4020855.90027
379, 0, 2, -13183183.3183, 4021769.00409
380, 0, 1, -13182214.9175, 4020056.10255
381, 0, 2, -13181592.533, 4021305.0317
382, 0, 1, -13182874.4875, 4020642.75397
383, 0, 2, -13181914.0698, 4021222.7154
384, 0, 2, -13182951.3117, 4021526.26741
385, 0, 1, -13182928.9056, 4020701.81788
386, 0, 2, -13182645.7663, 4021639.18679
387, 0, 1, -13182956.0811, 4020648.99556
388, 0, 1, -13183230.6626, 4020625.13933
389, 0, 2, -13181789.9943, 4021309.41188
390, 0, 2, -13181795.5825, 4020862.98256
391, 0, 2, -13181867.7171, 4020841.0133
392, 0, 1, -13182425.0242, 4020130.9994
393, 0, 2, -13182677.8067, 4021645.88603
394, 0, 2, -13181828.0211, 4021220.55922
395, 0, 2, -13182767.1705, 4021831.83433
396, 0, 2, -13181953.4744, 4020930.31077
397, 0, 2, -13183026.826, 4021758.15529
398, 0, 2, -13182812.3715, 4021805.87614
399, 0, 2, -13181993.952, 4021076.8424
400, 0, 2, -13182550.5083, 4021367.81668
401, 0, 1, -13182246.7037, 4019904.17968
402, 0, 1, -13182252.2575, 4019910.05528
403, 0, 2, -13182763.7302, 4021710.52282
404, 0, 1, -13182247.5365, 4020120.28559
405, 0, 2, -13182428.8959, 4021165.90952
406, 0, 2, -13183044.0164, 4021859.02119
407, 0, 1, -13183129.9067, 4020649.6212
408, 0, 2, -13182866.934, 4021504.62026
409, 0, 2, -13182721.2997, 4021816.81074
410, 0, 1, -13183027.6959, 4020552.36867
411, 0, 1, -13183281.6141, 4020613.43199
412, 0, 1, -13183088.8875, 4020594.78268
413, 0, 2, -13181737.3561, 4021079.46315
414, 0, 2, -13182725.1037, 4021787.01499
415, 0, 1, -13182738.0, 4020400.75673
416, 0, 2, -13182843.0414, 4021885.16917
417, 0, 2, -13182920.027, 4021864.07473
418, 0, 2, -13181854.7457, 4020911.30592
419, 0, 1, -13182264.3705, 4019992.88087
420, 0, 1, -13182899.292, 4020809.95605
421, 0, 1, -13183075.1807, 4020814.62823
422, 0, 1, -13182233.4965, 4019957.3896
423, 0, 2, -13182143.9485, 4021113.49961
424, 0, 2, -13183005.9971, 4021550.70551
425, 0, 1, -13182369.6289, 4020007.90247
426, 0, 1, -13183132.5951, 4020494.69369
427, 0, 2, -13183022.5253, 4021842.16865
428, 0, 2, -13182103.3512, 4021131.58374
429, 0, 2, -13182994.5277, 4021592.34411
430, 0, 1, -13182916.319, 4020735.34061
431, 0, 1, -13182183.5016, 4020076.02691
432, 0, 2, -13182968.583, 4021659.52879
433, 0, 1, -13183147.4786, 4020404.96578
434, 0, 1, -13183162.8275, 4020652.17123
435, 0, 2, -13183050.8311, 4021691.09405
436, 0, 1, -13182932.0924, 4020595.36937
437, 0, 1, -13183086.1545, 4020521.32894
438, 0, 1, -13182210.586, 4019970.57638
439, 0, 2, -13183030.5985, 4021695.78663
440, 0, 1, -13183102.2381, 4020736.59483
441, 0, 1, -13183064.7326, 4020725.39448
442, 0, 1, -13182223.478, 4020013.357
443, 0, 1, -13182457.3652, 4020064.81011
444, 0, 1, -13183117.6344, 4020599.96357
445, 0, 1, -13182547.9007, 4020204.04756
446, 0, 1, -13183074.4794, 4020510.00589
447, 0, 1, -13182441.0449, 4019979.32468
448, 0, 1, -13182869.6539, 4020840.53819
449, 0, 1, -13182419.8943, 4019947.01623
450, 0, 2, -13182687.8593, 4021286.98453
451, 0, 2, -13181654.8336, 4021178.70422
452, 0, 1, -13182934.9893, 4020912.49419
453, 0, 2, -13182378.0044, 4021034.12609
454, 0, 2, -13182741.5565, 4021786.35156
455, 0, 1, -13182463.5742, 4020040.95734
456, 0, 1, -13182979.3432, 4020579.82548
457, 0, 2, -13183127.32, 4021589.18323
458, 0, 1, -13182815.7779, 4020732.49757
459, 0, 2, -13181983.5746, 4020943.12983
460, 0, 2, -13182982.7122, 4021548.07709
461, 0, 2, -13183088.9555, 4021644.19396
462, 0, 2, -13182939.2624, 4021828.65275
463, 0, 2, -13181686.9404, 4021045.32275
464, 0, 2, -13182632.0915, 4021610.21269
465, 0, 2, -13181795.5583, 4020997.48423
466, 0, 2, -13182652.1916, 4021743.49481
467, 0, 2, -13181964.2664, 4020943.59319
468, 0, 2, -13182661.115, 4021840.11146
469, 0, 1, -13182421.2352, 4019968.19462
470, 0, 1, -13183019.6775, 4020558.9184
471, 0, 2, -13182751.3903, 4021704.0411
472, 0, 2, -13182973.6845, 4021792.48262
473, 0, 2, -13181788.1007, 4021320.71678
474, 0, 1, -13182970.065, 4020726.24241
475, 0, 2, -13182004.9228, 4021057.91876
476, 0, 1, -13182611.1053, 4020253.57807
477, 0, 2, -13182347.7716, 4021031.90978
478, 0, 2, -13182633.5749, 4021585.09633
479, 0, 2, -13182664.2387, 4021321.47409
480, 0, 1, -13182885.4912, 4020757.6226
481, 0, 1, -13182907.6943, 4020630.18133
482, 0, 2, -13182743.8257, 4021585.25708
483, 0, 2, -13181949.3822, 4021210.02694
484, 0, 2, -13182926.1275, 4021811.09048
485, 0, 2, -13183043.2748, 4021540.35159
486, 0, 2, -13181929.6738, 4020996.83877
487, 0, 2, -13181914.8872, 4020992.88063
488, 0, 2, -13183065.1368, 4021721.15977
489, 0, 2, -13182782.2295, 4021709.04995
490, 0, 1, -13182946.1927, 4020678.43521
491, 0, 1, -13182353.0722, 4019937.91426
492, 0, 2, -13182728.5876, 4021755.91449
493, 0, 2, -13181876.1594, 4021253.88055
494, 0, 1, -13183045.5331, 4020595.17752
495, 0, 2, -13183002.0959, 4021706.08035
496, 0, 1, -13182257.7473, 4019929.15095
497, 0, 1, -13183056.4008, 4020840.40438
498, 0, 1, -13182315.071, 4019949.51284
499, 0, 2, -13182004.7605, 4021163.9303
500, 0, 2, -13182893.2464, 4021623.55338
501, 0, 2, -13181910.5748, 4021089.20527
502, 0, 2, -13181940.4242, 4020888.88445
503, 0, 1, -13182387.5234, 4020072.35753
504, 0, 1, -13183082.5225, 4020717.15636
505, 0, 2, -13181646.3403, 4021271.23301
506, 0, 1, -13182253.1469, 4019978.05413
507, 0, 2, -13181709.8459, 4021268.60332
508, 0, 2, -13181893.1206, 4021085.6096
509, 0, 1, -13183016.2625, 4020706.24392
510, 0, 2, -13182792.3179, 4021547.40951
511, 0, 1, -13182201.1112, 4020100.76165
512, 0, 2, -13182781.4345, 4021564.45936
513, 0, 1, -13182818.3878, 4020798.16143
514, 0, 2, -13182988.6954, 4021880.20935
515, 0, 2, -13182841.4559, 4021717.10451
516, 0, 2, -13181647.7866, 4021190.27303
517, 0, 1, -13183109.0886, 4020529.23388
518, 0, 2, -13182659.7064, 4021816.88527
519, 0, 2, -13182831.7173, 4021865.97542
520, 0, 1, -13183097.3133, 4020655.01993
521, 0, 1, -13182231.1015, 4020005.97962
522, 0, 2, -13182906.555, 4021786.79373
523, 0, 2, -13183108.5953, 4021578.60468
524, 0, 2, -13182042.4295, 4021159.85551
525, 0, 1, -13182456.5711, 4020043.59753
526, 0, 1, -13182706.4128, 4020392.05158
527, 0, 2, -13183117.8129, 4021619.15917
528, 0, 2, -13181884.5623, 4020978.81067
529, 0, 2, -13183053.7015, 4021546.17495
530, 0, 1, -13182735.4986, 4020433.02677
531, 0, 2, -13181745.9375, 4021142.90965
532, 0, 2, -13181836.1666, 4021253.57279
533, 0, 2, -13182862.8487, 4021740.40287
534, 0, 2, -13182842.1143, 4021784.50955
535, 0, 2, -13181805.8006, 4021255.10591
536, 0, 2, -13182865.9089, 4021770.81423
537, 0, 2, -13182666.0082, 4021603.77453
538, 0, 1, -13182335.3116, 4019993.85523
539, 0, 1, -13182948.2158, 4020819.3035
540, 0, 1, -13182871.9893, 4020581.71024
541, 0, 2, -13181702.1461, 4021273.49127
542, 0, 1, -13182417.8388, 4020043.81651
543, 0, 1, -13182886.2189, 4020837.1495
544, 0, 2, -13183088.168, 4021751.51707
545, 0, 2, -13181681.6935, 4021147.58226
546, 0, 2, -13182979.7128, 4021700.06729
547, 0, 2, -13183144.4545, 4021807.06727
548, 0, 2, -13182909.6964, 4021760.26009
549, 0, 2, -13182734.6867, 4021559.59081
550, 0, 2, -13182752.6555, 4021543.4121
551, 0, 2, -13181747.6229, 4021302.10465
552, 0, 1, -13183030.1088, 4020815.21662
553, 0, 2, -13182642.5651, 4021792.34338
554, 0, 1, -13183305.1758, 4020618.84455
555, 0, 1, -13183059.6543, 4020526.58141
556, 0, 2, -13183104.0916, 4021751.32887
557, 0, 2, -13181704.7465, 4021409.8981
558, 0, 2, -13181872.6618, 4020961.22459
559, 0, 2, -13183019.1828, 4021849.01912
560, 0, 2, -13182388.6144, 4021044.91774
561, 0, 1, -13183075.9349, 4020663.20505
562, 0, 2, -13182926.6743, 4021810.842
563, 0, 1, -13183041.6056, 4020568.40182
564, 0, 1, -13183082.0283, 4020647.98445
565, 0, 2, -13182639.1558, 4021784.4354
566, 0, 2, -13182104.1848, 4021137.58327
567, 0, 2, -13181775.6758, 4021363.00226
568, 0, 2, -13183164.7621, 4021663.28423
569, 0, 2, -13181810.7254, 4021146.18289
570, 0, 2, -13181831.3121, 4021322.04226
571, 0, 1, -13182272.6392, 4020164.595
572, 0, 2, -13181710.3545, 4020980.42666
573, 0, 2, -13181799.7057, 4021179.82535
574, 0, 2, -13182756.5475, 4021579.72216
575, 0, 1, -13182216.0885, 4019991.17902
576, 0, 2, -13181753.984, 4021023.54118
577, 0, 1, -13182357.4278, 4020147.8136
578, 0, 2, -13181833.3443, 4020898.79546
579, 0, 1, -13183062.8208, 4020785.22511
580, 0, 1, -13182869.4769, 4020774.82276
581, 0, 2, -13181691.7641, 4021311.0127
582, 0, 2, -13181776.5025, 4021241.61156
583, 0, 2, -13181663.6195, 4021200.6451
